state_cd,state_abbrv,cd_pop,is_redistricted,pct_age_18_22,pct_age_23_27,pct_age_28_32,pct_age_33_37,pct_age_38_42,pct_age_43_47,pct_age_48_52,pct_age_53_57,pct_age_58_62,pct_age_63_67,pct_age_68_72,pct_age_73_77,pct_age_78_82,pct_age_83_plus,pct_female,pct_male,pct_race_asian,pct_race_black,pct_race_native_american,pct_race_other_multi,pct_race_white,pct_hisp_hispanic,pct_hisp_not_hispanic,pct_educ_four_year,pct_educ_hs_grad,pct_educ_no_hs,pct_educ_post_grad,pct_educ_some_college,pct_educ_two_year,state_pres_dem_share,state_pres_rep_share,state_pres_other_share,state_pres_no_vote_share,dem_share,rep_share,other_share,no_vote_share,contestation,training_eligibility,is_imputed
AK-1,AK,536861,FALSE,0.08352441320937821,0.09516057228966157,0.10792737785013252,0.09732314323446851,0.09570633739459562,0.07918623256299116,0.06634864518003729,0.0769901333864818,0.08130409919886153,0.07804627268510844,0.05656585224108289,0.042562227466699944,0.021152588845157312,0.01820210445534319,0.4703470730785064,0.5296529269214937,0.06385637995682308,0.033271181926047895,0.1254160760420295,0.12919172746763127,0.6482646346074682,0.06049983142750172,0.9395001685724983,0.18216633355747577,0.30484613335667893,0.07458168874252367,0.10329489383657968,0.24733962794838887,0.0877713225583531,0.2608235651313841,0.34358614240930146,0.02550567092785656,0.3700846215314579,0.29103436457481546,0.29719052045129,0.02563047045697117,0.3861446445169234,TRUE,training_set,FALSE
AL-1,AL,560567.9286999996,FALSE,0.0736701972868324,0.07035514320532335,0.07727953969907517,0.07755037681305725,0.07846973319007147,0.07822946971243668,0.07926302384626593,0.07881694838030072,0.09146520283260723,0.08729752505371967,0.07628037675855714,0.05932617725228059,0.037782402659240814,0.03421388331023157,0.5217282584793014,0.47827174152069873,0.01037174034105601,0.18803621542253943,0.004946392324709529,0.05028951632209204,0.7463561355896029,0.03126887037695776,0.9687311296230423,0.15152130536075742,0.3295804007704374,0.10690145641933506,0.08489078105192001,0.22903990029852744,0.09806615609902267,0.20064327333471157,0.3799320335154328,0.007808964753250984,0.4116157283966046,0.12653060649489856,0.46135175909859394,5.45874967748579e-4,0.4115717594387589,TRUE,training_set,FALSE
AL-2,AL,535593.7275999992,FALSE,0.09025365273900572,0.08457574662605143,0.08554009249752842,0.08201685575527635,0.07846154544846465,0.07392061288209899,0.07382034658465632,0.07736561177756411,0.08681573402354385,0.0843303649249084,0.06626883619239757,0.05007825244740598,0.03402627002684114,0.032526078074257093,0.5341391006984602,0.46586089930153995,0.012573554455494712,0.445739916465743,0.0036613081874336735,0.03942644865283147,0.49859877223849713,0.021244793980294573,0.9787552060197054,0.14923899418720526,0.33228724764475753,0.11213271777680917,0.09156663170750698,0.23026083530258284,0.0845135733811383,0.20064327333471157,0.3799320335154328,0.007808964753250984,0.4116157283966046,0.29507627116580193,0.24536134989643632,4.0889201780114413e-4,0.4591534869199606,TRUE,training_set,FALSE
AL-3,AL,556696.2556999997,FALSE,0.10549050312213187,0.07629543788936254,0.08170490915698105,0.07184475140704635,0.08006419361300543,0.06938375479359274,0.08088675545945476,0.08247116884641191,0.08524979252882732,0.080514129277985,0.07059364581244479,0.05287001627663364,0.034160886309693925,0.028470055506428657,0.5194266003036095,0.48057339969639046,0.00853163112086654,0.2151768108254584,0.0021900718524987197,0.04597163702461024,0.7281298491765661,0.02442729901766789,0.9755727009823322,0.1273406105648431,0.3324275060325323,0.12636302683865885,0.07939351531011206,0.24511231646137335,0.0893630247924802,0.20064327333471157,0.3799320335154328,0.007808964753250984,0.4116157283966046,0,0.4380270165341443,0.009268968395542242,0.5527040150703135,FALSE,training_set,FALSE
AL-4,AL,550805.5474999998,FALSE,0.09155231738111722,0.07600672268102024,0.07766667382739095,0.07731327161333643,0.0750131636973028,0.07358888664787824,0.07969358333305458,0.08340203545244793,0.0869655910646034,0.08221556156349352,0.07288836501778334,0.05486498499726898,0.03635024736202389,0.03247859536127858,0.5185900655802673,0.4814099344197328,0.005062534160478843,0.10396130442023194,0.00440150904616661,0.05209995674562448,0.8344746956274982,0.032497158536697573,0.9675028414633025,0.12945203788093662,0.3437065246696705,0.1286201384890736,0.06989797592770253,0.22958116666390313,0.09874215636871365,0.20064327333471157,0.3799320335154328,0.007808964753250984,0.4116157283966046,0,0.4983573626770709,0.006125573744334885,0.49551706357859415,FALSE,training_set,FALSE
AL-5,AL,561348.2210000003,FALSE,0.0823585269721555,0.08583158919461505,0.08237815382690951,0.08099448541763529,0.08376548146217429,0.07398134588548023,0.07915159830888643,0.08490720700083948,0.09533064735587721,0.0789094097797096,0.06239788617767795,0.04716671240684308,0.03171927198465282,0.031107684226543586,0.5108672814338532,0.4891327185661467,0.013177669801504538,0.18187844795895416,0.006958910804137023,0.07092435641654943,0.7270606150188548,0.04182653159241062,0.9581734684075893,0.20564327734816132,0.25942882412733237,0.0995363726288535,0.12584472873924016,0.22679194987597556,0.08275484728043701,0.20064327333471157,0.3799320335154328,0.007808964753250984,0.4116157283966046,0,0.4459299782834796,0.02153387068452114,0.5325361510319992,FALSE,training_set,FALSE
AL-6,AL,536145.4726000004,FALSE,0.07796464511262576,0.07868059352516857,0.08190451480835648,0.08380221898007315,0.08885575918225147,0.07999052923458369,0.08121196079274698,0.08593556516772867,0.08032802644242641,0.08165286072024923,0.06607024214569483,0.05026725763309188,0.032935692461165816,0.030400133793837058,0.5261812038287462,0.4738187961712538,0.01365250510184016,0.2243720462967498,0.0018131047442887607,0.0440183023192426,0.7161440415378787,0.027395939816055044,0.972604060183945,0.22937000512871628,0.2697690658443882,0.08266621703446976,0.13167229643412265,0.2098541309215561,0.07666828463674691,0.20064327333471157,0.3799320335154328,0.007808964753250984,0.4116157283966046,0.19118691705613763,0.45461728664422896,7.0876286273055e-4,0.35348703343690285,TRUE,training_set,FALSE
AL-7,AL,548520.8708000006,FALSE,0.11377409032582614,0.08590675963026634,0.088049275553655,0.08079367706713704,0.07510226135956904,0.07062355830417381,0.07285894799538405,0.07405517011733005,0.08299930964085386,0.0802953622088503,0.06774854226750053,0.04538318216350356,0.02985387826012327,0.032555985105826905,0.5354377246788254,0.46456227532117444,0.008936150766425859,0.449700889302971,0.0032801218618644414,0.03872507379531417,0.4993577642734246,0.020683911777965507,0.9793160882220345,0.1546073714138062,0.31745398920926543,0.10154229012064055,0.0969816384970269,0.24757526126934742,0.08183944948991355,0.20064327333471157,0.3799320335154328,0.007808964753250984,0.4116157283966046,0.34041184199184676,0.1938157792336092,3.372706670763197e-4,0.4654351081074677,TRUE,training_set,FALSE
AR-1,AR,568071.3448000002,FALSE,0.08466059032942795,0.07701990463082416,0.07801451086324891,0.08291237453031974,0.07640785421993355,0.07546507932923993,0.07518415563636083,0.0813137373022446,0.08837539784316197,0.08268575546005955,0.06947418869349029,0.05542647589641277,0.03642017061656935,0.036639804648706496,0.5136156741064332,0.4863843258935667,0.004296463150872881,0.15465520854767134,0.003110930900100563,0.06268083371206866,0.7752565636892866,0.02631247665777351,0.9736875233422264,0.12215548528403786,0.3839543296745426,0.12084275263729165,0.06651831983059042,0.2244811474250584,0.08204796514847902,0.1767100117938757,0.3380292162214988,0.011811684440587854,0.4734490875440377,0.11286082388572538,0.3427580035189973,0.014704138972087784,0.5296770336231895,TRUE,training_set,FALSE
AR-2,AR,566692.8587999991,FALSE,0.08255886654204649,0.08686966393796383,0.08647659475323527,0.08506934126906629,0.08398198170483104,0.0756570096732618,0.07817630116922873,0.07750532941778447,0.0833014756881916,0.07878343657716123,0.06810993450973059,0.049643552169639595,0.03054575707316113,0.033320755514697875,0.5233307792655039,0.47666922073449614,0.010285032375989418,0.2108260833796129,0.0028261580768661715,0.06181847319230768,0.7142442529752239,0.0368187650082313,0.9631812349917687,0.18578192077969408,0.31864256571429406,0.0805878224700155,0.10507444725188402,0.22641440263019588,0.08349884115391641,0.1767100117938757,0.3380292162214988,0.011811684440587854,0.4734490875440377,0.22194915296151638,0.31853057118495715,0,0.45952027585352645,TRUE,training_set,FALSE
